"Ev_MeV","1-3 eV","3-5 eV","5-7 eV","7-9 eV","9-11 eV","11-13 eV","13-15 eV","15-17 eV","17-19 eV","19-21 eV","21-23 eV","23-25 eV","25-27 eV","27-29 eV","29-31 eV","31-33 eV","33-35 eV","35-37 eV","37-39 eV","39-41 eV","41-43 eV","43-45 eV","45-47 eV","47-49 eV","49-51 eV","51-56 eV","56-61 eV","61-66 eV","66-71 eV","71-81 eV","81-120 eV"
0.2721160580290145,2.0673366481343607e-17,2.7969938309728997e-19,-1.1691117514794191e-35,-5.329945284636805e-35,1.8971348921593872e-34,-1.3641403636957067e-34,0,1.2519974061568335e-34,-4.3857067719727445e-34,3.1337093658159157e-34,0,0,0,0,0,-7.851186600308356e-35,-4.4688643368037136e-33,4.5473762028067985e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27552776388194095,2.1164198716334437e-17,4.386125393333876e-19,-1.1262179269624675e-35,-5.134393629771595e-35,1.8275304501149918e-34,-1.3140910871378323e-34,0,1.2060625697586768e-34,-4.34445954709137e-34,3.138396977332698e-34,0,0,0,0,0,-7.563132511503488e-35,-5.149308364930101e-33,5.2249396900451376e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27893946973486744,2.1606870875557154e-17,6.317431661901233e-19,-1.0853970226953205e-35,-4.948292355930177e-35,1.7612897663508395e-34,-1.2664605307578216e-34,0,1.1623476159103627e-34,-8.43269602872512e-34,7.27034841281476e-34,0,0,0,0,0,-7.288999148128143e-35,-4.1135253318349916e-33,4.186415323316274e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2823511755877939,2.2002796149944774e-17,8.585102499151598e-19,-1.0465253145073413e-35,-4.7710774083427266e-35,1.6982120718293922e-34,-1.2211043309951196e-34,0,1.1207200488598641e-34,-1.2698215497221787e-33,1.1577495448361925e-33,0,0,0,0,0,-7.027955638754153e-35,-3.9662061914840454e-33,4.036485747871589e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2857628814407204,2.2353269964160205e-17,1.1183915960339435e-18,-1.0094878350017283e-35,-4.602224654107752e-35,1.6381108072592414e-34,-1.1778883418484662e-34,0,1.0810567504515333e-34,-1.2248814140449435e-33,1.1167757389997906e-33,0,0,0,0,0,-6.779229918192628e-35,-3.825838559191004e-33,3.893630858372932e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2891745872936468,2.2659479852418712e-17,1.4109184572476056e-18,-9.741776589313933e-36,-4.441246624242239e-35,1.5808124634640008e-34,-1.1366878010397769e-34,0,1.0432432148378007e-34,-1.1820371350991417e-33,1.0777128136153618e-33,0,0,0,0,0,-6.542103928425497e-35,-3.692017201015371e-33,4.622135582014302e-33,-8.64697341714674e-34,0,0,0,0,0,0,0,0,0,0,0,0
0.29258629314657325,2.2922513584558438e-17,1.735672592876537e-18,-9.404952544557583e-36,-4.287689556080906e-35,1.5261555286571337e-34,-1.097386573049043e-34,0,1.0071728537425014e-34,-1.141167944018222e-33,1.0404506586439719e-33,0,0,0,0,0,-6.315909261961289e-35,-3.564364903145995e-33,4.534162572343901e-33,-9.066385765782919e-34,0,0,0,0,0,0,0,0,0,0,0,0
0.29599799899949975,2.314336694976209e-17,2.09228243606962e-18,-9.083478935237456e-36,-4.1411307052300124e-35,1.4739895316617331e-34,-1.0598764611387318e-34,0,9.727463650422243e-35,-1.1021613274440365e-33,1.0048866909398142e-33,0,0,0,0,0,-6.10002320225373e-35,-3.44253023732289e-33,3.4436134815631406e-33,5.991698778228837e-35,0,0,0,0,0,0,0,0,0,0,0,0
0.2994097048524262,2.332295280741828e-17,2.4804156864762283e-18,-8.776491153890344e-36,-4.001175899749559e-35,1.4241741713488096e-34,-1.024056581373854e-34,0,9.398711582468035e-35,-1.0649123765727935e-33,9.709252607481132e-34,0,0,0,0,0,-5.893865120930804e-35,-3.32618552762401e-33,3.3272321622405314e-33,5.78920165927883e-35,0,0,0,0,0,0,0,0,0,0,0,0
0.3028214107053527,2.346210460117129e-17,2.8997824002530377e-18,-8.483182379312858e-36,-3.867457312281456e-35,1.376578523651032e-34,-9.898327924228865e-35,0,9.084608311750447e-35,-5.428483907547865e-34,4.5200230763728225e-34,0,0,0,0,0,-5.696893196065487e-35,-3.215024998430937e-33,3.216036654704586e-33,5.595727568700804e-35,0,0,0,0,0,0,0,0,0,0,0,0
0.3062331165582791,2.3561585783044e-17,3.350125024872875e-18,-8.2027991204376e-36,-3.739631428516093e-35,1.331080318460938e-34,-9.571171756093287e-35,0,8.784346927500901e-35,-5.249063503660068e-34,4.37062881090998e-34,0,0,0,0,0,-5.50860141965946e-35,-3.108763085611081e-33,2.1372946619263157e-33,1.0265544378813612e-33,0,0,0,0,0,0,0,0,0,0,0,0
0.3096448224112056,2.362209158691796e-17,3.831222900870679e-18,-7.934637148641447e-36,-3.6173771927439214e-35,1.2875652795605956e-34,-9.258275602862034e-35,0,8.497173273918311e-35,-5.077463638960514e-34,4.227746311568685e-34,0,0,0,0,0,-5.32851686597894e-35,-3.0071328949109962e-33,3.0641636112983576e-33,-3.745547727571531e-36,0,0,0,0,0,0,0,0,0,0,0,0
0.31305652826413205,2.364425792185862e-17,4.342882352879975e-18,-7.678037780805964e-36,-3.5003943133138885e-35,1.2459265214683323e-34,-8.958870901369437e-35,0,8.222381969712382e-35,-4.913262814706315e-34,4.091024617735079e-34,0,0,0,0,0,-5.156197195438617e-35,-2.9098847932805943e-33,1.9520418463434305e-33,1.0094049188915506e-33,0,0,0,0,0,0,0,0,0,2.0260586776287975e-33,-2.0260586776287975e-33,0
0.31646823411705854,2.3628663080475275e-17,4.884939812415975e-18,-7.432384479467884e-36,-3.3884017126522726e-35,1.2060639977401362e-34,-8.672238264749089e-35,0,7.959312767217453e-35,-9.86907510168376e-34,9.073143824962014e-34,0,0,0,0,0,-4.99122837142787e-35,-2.816785120370699e-33,2.911644151317128e-33,-4.4946747232150106e-35,0,0,0,0,0,0,0,0,0,-8.287657604043119e-35,8.287657604043119e-35,0
0.319879939969985,2.3575832276027198e-17,5.457258930535689e-18,-7.197099739949183e-36,-3.281136108114658e-35,1.1678839958396575e-34,-8.397703850281919e-35,0,7.707347218831736e-35,-9.556652786745015e-34,8.78591806486184e-34,0,0,0,0,0,-4.833222569858543e-35,-2.7276150087924535e-33,1.7874204312729366e-33,9.885268032181024e-34,0,0,0,0,0,0,0,0,0,1.615285645035272e-33,-1.615285645035272e-33,0
0.3232916458229114,2.3486242978986995e-17,6.0597260671170545e-18,-6.971642237499982e-36,-3.1783507113769654e-35,1.13129867420088e-34,-8.134636030631838e-35,0,7.465905621903293e-35,-9.257279546561332e-34,8.510688984371001e-34,0,0,0,0,0,-4.681816263324695e-35,-2.6421693029184862e-33,1.6278174068991563e-33,1.0611700586525771e-33,0,0,0,0,0,0,0,0,0,2.1455325526382753e-33,-2.1455325526382753e-33,0
